"date","scale"
1970-02-01,10.5800000649911
1970-03-01,10.0899999936422
1970-04-01,10.5318517684937
1970-05-01,7.52518517882736
1970-06-01,7.10814808033131
1970-07-01,7.3977777339794
1970-08-01,7.79444445504083
1970-09-01,8.0300000861839
1970-10-01,10.0992592175802
1970-11-01,9.06269233043377
1970-12-01,10.2029629283481
1971-01-01,10.6615385275621
1971-02-01,10.5037038061354
1971-03-01,9.56692304978004
1971-04-01,8.70555558028044
1971-05-01,7.76444441300851
1971-06-01,6.75
1971-07-01,6.20296294600875
1971-08-01,7.19370370441013
1971-09-01,7.69481478797065
1971-10-01,9.90740746038931
1971-11-01,10.4300000071526
1971-12-01,12.1664000320435
1972-01-01,11.2150000242087
1972-02-01,10.2015384527353
1972-03-01,8.78333330154419
1972-04-01,8.61407408890901
1972-05-01,7.02407404228493
1972-06-01,6.7407407230801
1972-07-01,5.99555551564252
1972-08-01,6.80888887687966
1972-09-01,7.42518522121288
1972-10-01,9.17555558239972
1972-11-01,9.33851849591291
1972-12-01,9.36374994119008
1973-01-01,9.79440008163452
1973-02-01,8.88111107437699
1973-03-01,8.93400009155273
1973-04-01,8.33629617867646
1973-05-01,8.03481485225536
1973-06-01,6.65592595382973
1973-07-01,6.03666665818956
1973-08-01,7.18920001983643
1973-09-01,8.48958331346512
1973-10-01,11.0188888443841
1973-11-01,10.2211537911342
1973-12-01,10.0511538248796
1974-01-01,10.1870371500651
1974-02-01,10.7692592055709
1974-03-01,9.72500001467191
1974-04-01,9.13222221091942
1974-05-01,7.59851847754584
1974-06-01,6.22680005073547
1974-07-01,6.20481481375518
1974-08-01,6.74884612743671
1974-09-01,8.253600025177
1974-10-01,8.47666659178557
1974-11-01,10.5540000152588
1974-12-01,8.99125001827876
1975-01-01,11.0084615487319
1975-02-01,9.37884620519785
1975-03-01,10.0870370158443
1975-04-01,9.11730771798354
1975-05-01,8.03481478161282
1975-06-01,7.27259257987694
1975-07-01,6.41814812907466
1975-08-01,6.16923075455886
1975-09-01,7.56629633020472
1975-10-01,9.51740747027927
1975-11-01,10.3048000717163
1975-12-01,10.5929630774039
1976-01-01,9.81307693628164
1976-02-01,10.7762963330304
1976-03-01,9.33444443455449
1976-04-01,8.52851851781209
1976-05-01,7.31407405711986
1976-06-01,6.12148148925216
1976-07-01,5.87666666949237
1976-08-01,7.20666669916223
1976-09-01,9.42500004401574
1976-10-01,9.37592596477932
1976-11-01,10.1183333198229
1976-12-01,9.4804166952769
1977-01-01,10.0475999641418
1977-02-01,10.1512000274658
1977-03-01,11.3623999977112
1977-04-01,9.35111111181754
1977-05-01,8.03185183913619
1977-06-01,5.39888887052183
1977-07-01,6.72148149984854
1977-08-01,6.45703705151876
1977-09-01,7.70319997787476
1977-10-01,11.3959259986877
1977-11-01,10.0600000134221
1977-12-01,10.9453846674699
1978-01-01,9.72480003356934
1978-02-01,10.9303703308105
1978-03-01,9.68185186386108
1978-04-01,8.57074078807124
1978-05-01,7.82555553648207
1978-06-01,6.73076921242934
1978-07-01,6.93629631289729
1978-08-01,7.60840003013611
1978-09-01,8.32666666419418
1978-10-01,10.7481481587445
1978-11-01,10.5780768761268
1978-12-01,11.9999999809265
1979-01-01,11.7679999542236
1979-02-01,9.00500000440157
1979-03-01,9.56703699959649
1979-04-01,9.05555553789492
1979-05-01,8.03592593581588
1979-06-01,6.66076920582698
1979-07-01,6.31961540075449
1979-08-01,7.13925926773636
1979-09-01,9.52923072301424
1979-10-01,9.80703696498164
1979-11-01,11.3751851364418
1979-12-01,12.5837499499321
1980-01-01,11.5376922534062
1980-02-01,10.7807408262182
1980-03-01,10.2915385319636
1980-04-01,9.72370371112117
1980-05-01,8.75925929458053
1980-06-01,7.33037035553544
1980-07-01,6.51740741729736
1980-08-01,7.42814818135014
1980-09-01,8.97740736714116
1980-10-01,9.7174074738114
1980-11-01,9.85159991264343
1980-12-01,12.8141666650772
1981-01-01,10.5003999328613
1981-02-01,9.95962951801441
1981-03-01,11.0985184245639
1981-04-01,8.05666670975862
1981-05-01,7.91407405005561
1981-06-01,6.2466666786759
1981-07-01,7.2337037369057
1981-08-01,7.90999993571529
1981-09-01,7.7837036980523
1981-10-01,9.44740742224234
1981-11-01,10.9266666659602
1981-12-01,10.2183999824524
1982-01-01,10.8496152987847
1982-02-01,10.8047999572754
1982-03-01,10.500416636467
1982-04-01,9.72074072449296
1982-05-01,7.98222215087325
1982-06-01,7.37629632596616
1982-07-01,7.35296295307301
1982-08-01,7.0859259057928
1982-09-01,9.00407404369778
1982-10-01,10.4899999911969
1982-11-01,10.1755556000604
1982-12-01,11.3076922526726
1983-01-01,10.882799949646
1983-02-01,10.1055554990415
1983-03-01,9.24148149843569
1983-04-01,8.94592595983435
1983-05-01,8.18074074497929
1983-06-01,6.59259257493196
1983-07-01,6.61481482011301
1983-08-01,7.12555558593185
1983-09-01,8.93518513220328
1983-10-01,10.3226922108577
1983-11-01,10.7969230871934
1983-12-01,10.4752000617981
1984-01-01,10.3580000305176
1984-02-01,11.3038460474748
1984-03-01,8.84962972005208
1984-04-01,8.74814815874453
1984-05-01,6.83074075204355
1984-06-01,6.00888890690274
1984-07-01,6.68999998657792
1984-08-01,7.42296300110994
1984-09-01,8.00074068705241
1984-10-01,9.82148147512365
1984-11-01,10.209999873088
1984-12-01,11.6146153303293
1985-01-01,10.6151852077908
1985-02-01,11.5503703223334
1985-03-01,12.0985184952065
1985-04-01,9.81518519366229
1985-05-01,8.81740737844397
1985-06-01,7.22074074215359
1985-07-01,6.13666665112531
