"date","scale"
1970-02-01,9.71095246360415
1970-03-01,10.3242857342675
1970-04-01,10.7133333115351
1970-05-01,7.17428568431309
1970-06-01,6.91523810795375
1970-07-01,7.26333332061768
1970-08-01,6.96523811703637
1970-09-01,6.76666668483189
1970-10-01,10.3242857796805
1970-11-01,10.4604761941092
1970-12-01,11.3514286222912
1971-01-01,9.50571430297125
1971-02-01,10.2647619247437
1971-03-01,10.3819047609965
1971-04-01,8.98523814337594
1971-05-01,6.96523809432983
1971-06-01,6.50142855871291
1971-07-01,6.89428572427659
1971-08-01,7.03666666575841
1971-09-01,9.35285709017799
1971-10-01,10.4861905234201
1971-11-01,11.0947618938628
1971-12-01,10.5761904262361
1972-01-01,12.0852380934216
1972-02-01,10.7299999509539
1972-03-01,11.4428571519398
1972-04-01,9.46190473011562
1972-05-01,8.48666677020845
1972-06-01,7.2823809442066
1972-07-01,6.03285714558193
1972-08-01,7.1366666612171
1972-09-01,10.089523928506
1972-10-01,9.94523799987066
1972-11-01,11.9014284043085
1972-12-01,10.9666667211623
1973-01-01,10.9533332643055
1973-02-01,11.7157141367594
1973-03-01,10.5785715012323
1973-04-01,10.1176189240955
1973-05-01,8.00238096146357
1973-06-01,7.18190479278564
1973-07-01,6.60809519177391
1973-08-01,7.67000003088088
1973-09-01,8.29571437835693
1973-10-01,10.1852381797064
1973-11-01,9.29333346230643
1973-12-01,12.4314286368234
1974-01-01,9.95000005903698
1974-02-01,11.0157142366682
1974-03-01,11.690000079927
1974-04-01,9.54952387582688
1974-05-01,8.9838094938369
1974-06-01,5.78999999591282
1974-07-01,6.38333335376921
1974-08-01,7.745238167899
1974-09-01,8.68450000286102
1974-10-01,9.72190480005174
1974-11-01,11.2466664768401
1974-12-01,11.9271427563259
1975-01-01,12.1699999400548
1975-02-01,12.3747619901385
1975-03-01,10.2233333133516
1975-04-01,8.43428573154268
1975-05-01,8.83571431750343
1975-06-01,7.1738095056443
1975-07-01,6.46476193836757
1975-08-01,6.51000009264265
1975-09-01,6.77952380407424
1975-10-01,8.74047608602615
1975-11-01,12.8247618902297
1975-12-01,10.8833333197094
1976-01-01,11.7399999073574
1976-02-01,10.9123809451149
1976-03-01,9.73238104865665
1976-04-01,9.13428576787313
1976-05-01,8.53857142584664
1976-06-01,6.99523814519246
1976-07-01,6.81333332970029
1976-08-01,7.24285709290277
1976-09-01,8.56619056065877
1976-10-01,9.59047620637076
1976-11-01,12.3109523909433
1976-12-01,11.7947620210193
1977-01-01,9.54350004196167
1977-02-01,11.3404763085502
1977-03-01,11.562857128325
1977-04-01,8.13190474964324
1977-05-01,7.36809530712309
1977-06-01,5.77619045121329
1977-07-01,6.58333328792027
1977-08-01,6.6366666612171
1977-09-01,8.30190472375779
1977-10-01,9.39523812702724
1977-11-01,11.6438096364339
1977-12-01,12.6079999923706
1978-01-01,10.7552381697155
1978-02-01,7.57699999809265
1978-03-01,10.0871428989229
1978-04-01,10.6876190503438
1978-05-01,8.87523810068766
1978-06-01,7.94190470377604
1978-07-01,7.85952388672602
1978-08-01,8.59809525807699
1978-09-01,9.38523814791725
1978-10-01,9.44761896133423
1978-11-01,12.4104762758527
1978-12-01,13.7776191348121
1979-01-01,11.6276190167382
1979-02-01,10.6200000445048
1979-03-01,10.6185714403788
1979-04-01,9.97250003814697
1979-05-01,9.17380948293777
1979-06-01,8.06761900583903
1979-07-01,7.95190475100563
1979-08-01,8.59285715648106
1979-09-01,9.83380951200213
1979-10-01,11.5704761686779
1979-11-01,11.6519048781622
1979-12-01,12.6438095001947
1980-01-01,11.2024998664856
1980-02-01,11.466190519787
1980-03-01,10.5576191856748
1980-04-01,10.9452380452837
1980-05-01,9.62095242454892
1980-06-01,7.38000004632132
1980-07-01,7.13047617957706
1980-08-01,7.09857141403925
1980-09-01,8.34619038445609
1980-10-01,9.95809518723261
1980-11-01,10.5285714921497
1980-12-01,11.0609522774106
1981-01-01,10.5309523854937
1981-02-01,12.4333333060855
1981-03-01,11.3814285596212
1981-04-01,11.3528571355911
1981-05-01,7.83285722278413
1981-06-01,6.26285711924235
1981-07-01,6.83619051887876
1981-08-01,8.42761909394037
1981-09-01,7.74904766536894
1981-10-01,8.84809528078352
1981-11-01,12.1519047873361
1981-12-01,12.2324999809265
1982-01-01,12.0425000667572
1982-02-01,10.0774999856949
1982-03-01,13.6923809959775
1982-04-01,10.2226315046612
1982-05-01,8.90333330063593
1982-06-01,8.74809521720523
1982-07-01,6.72619047619048
1982-08-01,8.11809522765023
1982-09-01,8.07047621409098
1982-10-01,9.69142861593337
1982-11-01,12.2752381733486
1982-12-01,12.1761904216948
1983-01-01,12.0144999980927
1983-02-01,11.1649998664856
1983-03-01,10.2033333551316
1983-04-01,11.4033333233425
1983-05-01,8.95714289801461
1983-06-01,7.12809521811349
1983-07-01,8.20476186843145
1983-08-01,8.68428566342308
1983-09-01,8.88809531075614
1983-10-01,10.9733334041777
1983-11-01,11.2709524517968
1983-12-01,11.5023810068766
1984-01-01,13.5423810595558
1984-02-01,11.139523824056
1984-03-01,10.3824999332428
1984-04-01,10.6999999909174
1984-05-01,7.56800000667572
1984-06-01,8.29095238731021
1984-07-01,6.73523805254982
1984-08-01,7.33857143492926
1984-09-01,9.48523816608247
1984-10-01,9.64999993642171
1984-11-01,13.2447618984041
1984-12-01,11.4857142766317
1985-01-01,11.0047618775141
1985-02-01,11.8095237868173
1985-03-01,14.3124998569489
1985-04-01,10.1190475736346
1985-05-01,9.52095238367716
1985-06-01,8.50476196834019
1985-07-01,6.78428570429484
