year,month,AO
2008,8,-8.05E-02
2008,9,-3.27E-01
2008,10,1.68E+00
2008,11,9.22E-02
2008,12,6.48E-01
2009,1,8.00E-01
2009,2,-6.72E-01
2009,3,1.21E-01
2009,4,9.73E-01
2009,5,1.19E+00
2009,6,-1.35E+00
2009,7,-1.36E+00
2009,8,-5.37E-02
2009,9,8.75E-01
2009,10,-1.54E+00
2009,11,4.59E-01
2009,12,-3.41E+00
2010,1,-2.59E+00
2010,2,-4.27E+00
2010,3,-4.32E-01
2010,4,-2.75E-01
2010,5,-9.19E-01
2010,6,-1.30E-02
2010,7,4.35E-01
2010,8,-1.17E-01
2010,9,-8.65E-01
2010,10,-4.67E-01
2010,11,-3.76E-01
2010,12,-2.63E+00
2011,1,-1.68E+00
2011,2,1.58E+00
2011,3,1.42E+00
2011,4,2.27E+00
2011,5,-3.51E-02
2011,6,-8.58E-01
2011,7,-4.72E-01
2011,8,-1.06E+00
2011,9,6.65E-01
2011,10,8.00E-01
2011,11,1.46E+00
2011,12,2.22E+00
2012,1,-2.20E-01
2012,2,-3.63E-02
2012,3,1.04E+00
2012,4,-3.46E-02
2012,5,1.68E-01
2012,6,-6.72E-01
2012,7,1.68E-01
2012,8,1.40E-02
2012,9,7.72E-01
2012,10,-1.51E+00
2012,11,-1.11E-01
2012,12,-1.75E+00
2013,1,-6.10E-01
2013,2,-1.01E+00
2013,3,-3.19E+00
2013,4,3.22E-01
2013,5,4.94E-01
2013,6,5.49E-01
2013,7,-1.11E-02
2013,8,1.54E-01
2013,9,-4.61E-01
2013,10,2.63E-01
2013,11,2.03E+00
2013,12,1.47E+00
2014,1,-9.69E-01
2014,2,4.38E-02
2014,3,1.21E+00
2014,4,9.72E-01
2014,5,4.64E-01
2014,6,-5.07E-01
2014,7,-4.89E-01
2014,8,-3.72E-01
2014,9,1.02E-01
2014,10,-1.13E+00
2014,11,-5.30E-01
2014,12,4.13E-01
2015,1,1.09E+00
2015,2,1.04E+00
2015,3,1.84E+00
2015,4,1.22E+00
2015,5,7.63E-01
2015,6,4.27E-01
2015,7,-1.11E+00
2015,8,-6.89E-01
2015,9,-1.65E-01
2015,10,-2.50E-01
2015,11,1.95E+00
2015,12,1.44E+00
2016,1,-1.45E+00
2016,2,-2.35E-02
2016,3,2.80E-01
2016,4,-1.05E+00
2016,5,-3.57E-02
2016,6,3.13E-01
2016,7,8.48E-02
2016,8,4.72E-01
2016,9,7.81E-01
2016,10,-1.92E+00
2016,11,-6.11E-01
2016,12,1.79E+00
2017,1,9.42E-01
2017,2,3.40E-01
2017,3,1.37E+00
2017,4,-8.87E-02
2017,5,-7.30E-01
2017,6,4.02E-01
2017,7,6.34E-01
2017,8,1.50E-01
2017,9,-4.92E-01
2017,10,6.90E-01
2017,11,-7.76E-02
2017,12,-5.90E-02
2018,1,-2.81E-01
2018,2,1.13E-01
2018,3,-9.41E-01
2018,4,5.44E-01
2018,5,1.18E+00
2018,6,3.80E-01
2018,7,6.12E-01
2018,8,8.36E-01
2018,9,5.85E-01
2018,10,4.13E-01
2018,11,-1.12E+00
2018,12,1.10E-01
