"date","prod"
2006-12-16 12:00:00,NA
2007-01-16 00:00:00,268.674130623801
2007-01-16 12:00:00,NA
2007-02-15 00:00:00,105.519358567615
2007-02-16 00:00:00,362.525886205669
2007-03-16 00:00:00,371.456291000529
2007-03-16 12:00:00,75.351144080769
2007-04-16 00:00:00,439.565330264597
2007-05-16 00:00:00,4631.45963366678
2007-05-16 12:00:00,736.763141892765
2007-06-16 00:00:00,1072.79746679721
2007-07-16 00:00:00,1514.80269755741
2007-07-16 12:00:00,834.329036210305
2007-08-16 00:00:00,1627.61275977622
2007-08-16 12:00:00,1227.70641760751
2007-09-16 00:00:00,1319.90585489594
2007-10-16 00:00:00,2025.705280781
2007-10-16 12:00:00,747.053327486091
2007-11-16 00:00:00,257.303545724435
2007-12-16 00:00:00,NA
2007-12-16 12:00:00,NA
2008-01-16 00:00:00,299.446140289307
2008-02-16 00:00:00,309.061399741997
2008-03-16 00:00:00,350.415676196607
2008-04-16 00:00:00,1236.18342625574
2008-05-16 00:00:00,3542.76977724225
2008-05-16 12:00:00,663.444670072283
2008-06-16 00:00:00,1349.90579300353
2008-07-16 00:00:00,1792.86160553317
2008-08-16 00:00:00,1856.24928495774
2008-08-16 12:00:00,1358.12477984095
2008-09-16 00:00:00,1392.50405299526
2008-10-16 00:00:00,1171.16640514536
2008-10-16 12:00:00,570.702146800099
2008-11-16 00:00:00,473.334934654036
2008-12-16 00:00:00,NA
2008-12-16 12:00:00,NA
2009-01-16 00:00:00,358.146951947893
2009-01-16 12:00:00,NA
2009-02-15 00:00:00,84.2004002125816
2009-02-16 00:00:00,348.068861572651
2009-03-16 00:00:00,405.007681488833
2009-03-16 12:00:00,86.9115008232915
2009-04-16 00:00:00,562.349590347266
2009-05-16 00:00:00,5330.77199690475
2009-06-16 00:00:00,1237.82109623112
2009-07-16 00:00:00,2231.04856235552
2009-07-16 12:00:00,996.71360807864
2009-08-16 00:00:00,2573.88727390908
2009-08-16 12:00:00,967.434354479339
2009-09-16 00:00:00,843.956130388511
2009-10-16 00:00:00,1459.75271861681
2009-10-16 12:00:00,0
2009-11-16 00:00:00,245.094614982605
2009-12-16 00:00:00,NA
2009-12-16 12:00:00,NA
2010-01-16 00:00:00,NA
2010-01-16 12:00:00,NA
2010-02-15 00:00:00,141.406162116641
2010-02-16 00:00:00,368.45203886851
2010-03-16 00:00:00,451.28896847687
2010-03-16 12:00:00,104.599160918889
2010-04-16 00:00:00,480.071922467951
2010-05-16 00:00:00,2272.61088780405
2010-05-16 12:00:00,553.671642233276
2010-06-16 00:00:00,1772.1720379981
2010-07-16 00:00:00,1607.03953804598
2010-07-16 12:00:00,841.932515155125
2010-08-16 00:00:00,1578.96968872763
2010-08-16 12:00:00,1002.67884692727
2010-09-16 00:00:00,1621.64583936626
2010-10-16 00:00:00,982.038807211904
2010-10-16 12:00:00,528.364600945811
2010-11-16 00:00:00,325.595463713707
2010-12-16 00:00:00,NA
2010-12-16 12:00:00,NA
2011-01-16 00:00:00,312.657664707729
2011-02-16 00:00:00,516.031417398187
2011-03-16 00:00:00,1117.89833938291
2011-04-16 00:00:00,3962.18216753768
2011-05-16 00:00:00,5875.21277344379
2011-06-16 00:00:00,2556.83309983948
2011-07-16 00:00:00,1909.89631464037
2011-08-16 00:00:00,2047.63208767026
2011-09-16 00:00:00,1430.44474397916
2011-10-16 00:00:00,1541.48455566742
2011-11-16 00:00:00,1080.89332339638
2011-12-16 00:00:00,NA
2012-01-16 00:00:00,263.640089246962
2012-02-16 00:00:00,302.215099269484
2012-03-16 00:00:00,384.233421748326
2012-04-16 00:00:00,1698.36617197971
2012-05-16 00:00:00,3208.59563101866
2012-06-16 00:00:00,2275.21617638423
2012-07-16 00:00:00,1467.88004985956
2012-08-16 00:00:00,1821.45756827608
2012-09-16 00:00:00,1599.22275890462
2012-10-16 00:00:00,1367.77329993254
2012-11-16 00:00:00,238.525550842285
2012-12-16 00:00:00,NA
2013-01-16 00:00:00,167.554489135742
2013-02-16 00:00:00,342.885375284965
2013-03-16 00:00:00,406.806301278524
2013-04-16 00:00:00,2330.36428158413
2013-05-16 00:00:00,2619.94785560072
2013-06-16 00:00:00,2801.02393624267
2013-07-16 00:00:00,2031.81983045614
2013-08-16 00:00:00,1658.35213912185
2013-09-16 00:00:00,1585.8431636726
2013-10-16 00:00:00,1247.92019641745
2013-11-16 00:00:00,470.477516975025
2013-12-16 00:00:00,NA
2014-01-16 00:00:00,NA
2014-02-16 00:00:00,439.288251075323
2014-03-16 00:00:00,530.580992308988
2014-04-16 00:00:00,1577.24566002358
2014-05-16 00:00:00,4127.97707812431
2014-06-16 00:00:00,2570.82638934385
2014-07-16 00:00:00,2307.20363254176
2014-08-16 00:00:00,2140.10924833629
2014-09-16 00:00:00,1660.49404943733
2014-10-16 00:00:00,1144.71027437679
2014-11-16 00:00:00,423.767423216734
2014-12-16 00:00:00,NA
2015-01-16 00:00:00,364.099368824678
2015-02-16 00:00:00,525.437566236017
2015-03-16 00:00:00,591.518260653017
2015-04-16 00:00:00,1206.71763144874
2015-05-16 00:00:00,3940.8077138722
2015-06-16 00:00:00,2641.08975128836
2015-07-16 00:00:00,2090.98493775035
2015-08-16 00:00:00,2023.93548167591
2015-09-16 00:00:00,1404.99662956039
2015-10-16 00:00:00,737.976330826537
2015-11-16 00:00:00,443.326253465571
2015-12-16 00:00:00,NA
2016-01-16 00:00:00,249.391616821289
2016-02-16 00:00:00,457.716444908712
2016-03-16 00:00:00,537.957555097344
2016-04-16 00:00:00,1072.08372086082
2016-05-16 00:00:00,2184.41807416866
2016-06-16 00:00:00,2608.10153865509
2016-07-16 00:00:00,2222.8520383467
2016-08-16 00:00:00,2236.9914659732
2016-09-16 00:00:00,2092.87951105832
2016-10-16 00:00:00,1118.30542555364
2016-11-16 00:00:00,363.813802068042
2016-12-16 00:00:00,NA
2017-01-16 00:00:00,280.781271198982
2017-02-16 00:00:00,399.111802607941
2017-03-16 00:00:00,647.412191003518
2017-04-16 00:00:00,2232.31842518443
2017-05-16 00:00:00,1437.27821696371
2017-06-16 00:00:00,1396.88857402189
2017-07-16 00:00:00,1532.9352217554
2017-08-16 00:00:00,1635.96309415123
2017-09-16 00:00:00,2184.65714695508
2017-10-16 00:00:00,1046.944261708
2017-11-16 00:00:00,NA
2017-12-16 00:00:00,NA
2018-01-16 00:00:00,271.225039374209
2018-02-16 00:00:00,423.298329898551
2018-03-16 00:00:00,631.308092346268
2018-04-16 00:00:00,4990.99463405639
2018-05-16 00:00:00,1341.67902284343
2018-06-16 00:00:00,1521.65482421173
2018-07-16 00:00:00,1579.95616510816
2018-08-16 00:00:00,1649.67751834915
2018-09-16 00:00:00,1732.55038278354
2018-10-16 00:00:00,790.900578136064
2018-11-16 00:00:00,299.352309060753
2018-12-16 00:00:00,NA
2019-01-16 00:00:00,134.37275390625
2019-02-16 00:00:00,443.665383137015
2019-03-16 00:00:00,897.168922970008
2019-04-16 00:00:00,1251.40373683616
2019-05-16 00:00:00,1844.9272734309
2019-06-16 00:00:00,2136.6461434779
2019-07-16 00:00:00,2494.02135409479
2019-08-16 00:00:00,2021.20928789083
2019-09-16 00:00:00,1850.22536226245
2019-10-16 00:00:00,1207.82655919944
2019-11-16 00:00:00,326.48728686002
2019-12-16 00:00:00,NA
2020-01-16 00:00:00,196.425695398197
2020-02-16 00:00:00,300.826130734477
2020-03-16 00:00:00,483.620690317666
2020-04-16 00:00:00,2337.12908199218
2020-05-16 00:00:00,3854.1480953575
2020-06-16 00:00:00,1470.88079838431
2020-07-16 00:00:00,2129.17233214171
2020-09-16 00:00:00,2036.95861309362
2020-10-16 00:00:00,1205.7128442142
2020-11-16 00:00:00,266.747238648968
2020-12-16 00:00:00,NA
2021-01-16 00:00:00,339.302011209642
2021-02-16 00:00:00,358.828305779967
2021-03-16 00:00:00,409.94195559195
