"Region","Season","Var","WAIC","RE","null"
"west","win","prod",935.541131621282,NA,933.700374025459
"west","fall","prod",935.517485065585,NA,933.700374025459
"west","sum","prod",929.614421725878,NA,933.700374025459
"west","spr","prod",943.817689912877,NA,933.700374025459
"west","NB","prod",927.462575203237,NA,933.700374025459
"west","win","PDO",930.881342127509,NA,933.700374025459
"west","fall","PDO",924.486985121181,NA,933.700374025459
"west","sum","PDO",925.860822835173,NA,933.700374025459
"west","spr","PDO",935.322435067912,NA,933.700374025459
"west","NB","PDO",928.445843213171,NA,933.700374025459
"west","win","MEI",936.235188436043,NA,933.700374025459
"west","fall","MEI",933.630076703511,NA,933.700374025459
"west","sum","MEI",933.432913208614,NA,933.700374025459
"west","spr","MEI",934.024865144838,NA,933.700374025459
"west","NB","MEI",933.859283479908,NA,933.700374025459
"west","win","scal",935.505463146259,NA,933.700374025459
"west","fall","scal",930.135277382409,NA,933.700374025459
"west","sum","scal",936.081385248324,NA,933.700374025459
"west","spr","scal",928.461112749384,NA,933.700374025459
"west","NB","scal",930.293468933736,NA,933.700374025459
"west","win","vwnd",934.971083748651,NA,933.700374025459
"west","fall","vwnd",932.071033577809,NA,933.700374025459
"west","sum","vwnd",933.934648059653,NA,933.700374025459
"west","spr","vwnd",933.371380574051,NA,933.700374025459
"west","NB","vwnd",931.857694864846,NA,933.700374025459
"west","win","AOI",925.127752801379,NA,933.700374025459
"west","fall","AOI",930.32966617762,NA,933.700374025459
"west","sum","AOI",932.043553051979,NA,933.700374025459
"west","spr","AOI",936.969337823025,NA,933.700374025459
"west","NB","AOI",924.840751844999,NA,933.700374025459
"west","win","chla",936.220468438218,NA,933.700374025459
"west","fall","chla",931.036099117189,NA,933.700374025459
"west","sum","chla",928.500796111798,NA,933.700374025459
"west","spr","chla",929.415994489837,NA,933.700374025459
"west","NB","chla",923.618324506106,NA,933.700374025459
"west","win","albsa",931.153419320408,NA,933.700374025459
"west","fall","albsa",931.318375357997,NA,933.700374025459
"west","sum","albsa",937.224941941732,NA,933.700374025459
"west","spr","albsa",935.887448345425,NA,933.700374025459
"west","NB","albsa",932.812339875818,NA,933.700374025459
"west","win","up",932.103198507344,NA,933.700374025459
"west","fall","up",925.670695359569,NA,933.700374025459
"west","sum","up",934.642813495649,NA,933.700374025459
"west","spr","up",930.665138363601,NA,933.700374025459
"west","NB","up",932.756442635402,NA,933.700374025459
"west","win","npgo",927.555129196872,NA,933.700374025459
"west","fall","npgo",919.95359357956,NA,933.700374025459
"west","sum","npgo",926.405130585052,NA,933.700374025459
"west","spr","npgo",917.490891035491,NA,933.700374025459
"west","NB","npgo",918.561557736104,NA,933.700374025459
